id,group,url,comments,,lat,lon,x,y
1,,https://maps.google.com/maps?q=32.69066619873047%2C35.44001770019531&z=17&hl=he,"נקודת התחלה, מצפה גיל",,32.6906661987305,35.4400177001953,241548.504230318,732933.839911725
2,1,https://maps.google.com/maps?q=32.69084548950195%2C35.442596435546875&z=17&hl=he,"מכסה חלוד עגול עם חור עגול, כמטר על מטר",,32.690845489502,35.4425964355469,241790.291913721,732954.263435129
3,2,https://maps.google.com/maps?q=32.69068908691406%2C35.44279479980469&z=17&hl=he,חתיכת פח חלודה בגודל חצי מטר על 20 סנטימטר עם עיגול מתכת אפור במרכזה,,32.6906890869141,35.4427947998047,241808.933341896,732936.960062549
4,3,https://maps.google.com/maps?q=32.69013214111328%2C35.44374084472656&z=17&hl=he,"סלע אפור-שחור רחב, כמטר רוחב ו30 סנטימטר גובה",,32.6901321411133,35.4437408447266,241897.792225318,732875.394142617
5,1,https://maps.google.com/maps?q=32.689910888671875%2C35.445640563964844&z=17&hl=he,גדר מרובעת ובתוכה ברז,,32.6899108886719,35.4456405639648,242076.003685589,732851.260616061
6,2,https://maps.google.com/maps?q=32.6896858215332%2C35.44641876220703&z=17&hl=he,"שתי חתיכות ברזל חלוד, אחת מהן תקועה עומדת באדמה",,32.6896858215332,35.446418762207,242149.040238342,732826.466731484
7,3,https://maps.google.com/maps?q=32.68958282470703%2C35.44642639160156&z=17&hl=he,חתיכת פח חלודה מלבנית מקופלת לכמעט-גליל,,32.689582824707,35.4464263916016,242149.781785078,732815.045943119
8,1,https://maps.google.com/maps?q=32.6898078918457%2C35.44694519042969&z=17&hl=he,גדר מרובעת ובתוכה ברז,,32.6898078918457,35.4469451904297,242198.37797345,732840.117162018
9,2,https://maps.google.com/maps?q=32.69002151489258%2C35.44683837890625&z=17&hl=he,"סלע בצבעי שחור-ירוק כהה בחלקו העליון, אפור רובו, ולבן בצידו",,32.6900215148926,35.4468383789063,242188.307012485,732863.785213919
10,3,https://maps.google.com/maps?q=32.69121170043945%2C35.44673538208008&z=17&hl=he,צינור קצר ורחב בצבע שחור בתוך המים,,32.6912117004395,35.4467353820801,242178.346444453,732995.755583165
11,,https://maps.google.com/maps?q=32.69192886352539%2C35.44677734375&z=17&hl=he,מבנה בטון מרובע ברוחב מטר וקצת על גובה 60 סנטימטר,,32.6919288635254,35.44677734375,242182.099845223,733075.298490303
12,1,https://maps.google.com/maps?q=32.69184875488281%2C35.446800231933594&z=17&hl=he,גדר מרובעת ובתוכה ברז נמוך,,32.6918487548828,35.4468002319336,242184.266556461,733066.419286434
13,2,https://maps.google.com/maps?q=32.6919059753418%2C35.446807861328125&z=17&hl=he,כתובת על הבטון,נקודת חציה בטוחה,32.6919059753418,35.4468078613281,242184.967526735,733072.766712897
14,,https://maps.google.com/maps?q=32.69182586669922%2C35.44700622558594&z=17&hl=he,עמוד אדום ולבן,,32.6918258666992,35.4470062255859,242203.590077129,733063.925129765
15,,https://maps.google.com/maps?q=32.69200134277344%2C35.44725799560547&z=17&hl=he,פיר ביוב עגול סגור מבטון,,32.6920013427734,35.4472579956055,242227.156073321,733083.439581863
16,,https://maps.google.com/maps?q=32.692012786865234%2C35.44723892211914&z=17&hl=he,עמוד-צינור כחול,,32.6920127868652,35.4472389221191,242225.364493667,733084.704645504
17,,https://maps.google.com/maps?q=32.69208908081055%2C35.44721603393555&z=17&hl=he,שם החברה על פיר ביוב עגול סגור,,32.6920890808106,35.4472160339356,242223.198717838,733093.160788044
18,,https://maps.google.com/maps?q=32.693206787109375%2C35.44711685180664&z=17&hl=he,"עמוד-צינור כחול שקצהו בצורת ""ר""",,32.6932067871094,35.4471168518066,242213.614006792,733217.093981219
19,,https://maps.google.com/maps?q=32.693199157714844%2C35.447086334228516&z=17&hl=he,עיגול בטון גדול ובתוכו עיגול נוסף שמהווה מכסה לביוב. איזה משקל כתוב עליו?,,32.6931991577148,35.4470863342285,242210.754102017,733216.24132778
20,,https://maps.google.com/maps?q=32.69346237182617%2C35.4488639831543&z=17&hl=he,מחשוף סלע לבן ברוחב כ3 סנטימטרים לאורך העלייה החשופה,,32.6934623718262,35.4488639831543,242377.389057631,733245.8147546
21,,https://maps.google.com/maps?q=32.69352722167969%2C35.44895553588867&z=17&hl=he,אגם נסתר,,32.6935272216797,35.4489555358887,242385.957974676,733253.026443617
22,,https://maps.google.com/maps?q=32.6934928894043%2C35.44997787475586&z=17&hl=he,"עץ נמוך בקצה גובה הכתף לפני שמשתפלת, בצד המערבי של השביל, צילום לכיוון צפון",,32.6934928894043,35.4499778747559,242481.838110181,733249.440454378
23,,https://maps.google.com/maps?q=32.692176818847656%2C35.45039367675781&z=17&hl=he,מכסה מרובע כחול במבנה בטון,,32.6921768188477,35.4503936767578,242521.16902436,733103.577556296
24,,https://maps.google.com/maps?q=32.69179153442383%2C35.45107650756836&z=17&hl=he,שער רכב בגובה מטר וחצי-שניים,,32.6917915344238,35.4510765075684,242585.302805442,733060.99791597
25,,https://maps.google.com/maps?q=32.69103240966797%2C35.449806213378906&z=17&hl=he,"כמה אבנים, כמו תל קטן קטן בגובה חצי מטר, עם כמה אבנים ברו’ום של כ30 סנטימטרים עליהם",,32.691032409668,35.4498062133789,242466.371555906,732976.534119909
26,,https://maps.google.com/maps?q=32.690853118896484%2C35.449501037597656&z=17&hl=he,"עץ בגובה 3 מטרים, נראה היחיד בגובה הזה כשמסתכלים מהחלק הגבוה יותר של השלוחה, קרוב אליו",,32.6908531188965,35.4495010375977,242437.798394093,732956.584477594
27,,https://maps.google.com/maps?q=32.689537048339844%2C35.4495964050293&z=17&hl=he,עץ מושיט יד,,32.6895370483398,35.4495964050293,242447.079217834,732810.651964968
28,,https://maps.google.com/maps?q=32.68914794921875%2C35.449615478515625&z=17&hl=he,"סלע לבן-אפור, רחב יחסית ובגובה כחצי מטר",,32.6891479492188,35.4496154785156,242448.967681271,732767.504730224
29,,https://maps.google.com/maps?q=32.688804626464844%2C35.44785690307617&z=17&hl=he,מעבר נחל על בטון מרובע,,32.6888046264648,35.4478569030762,242284.134026161,732729.050168596
30,,https://maps.google.com/maps?q=32.68879699707031%2C35.44781494140625&z=17&hl=he,כתובת על שלט כחול,,32.6887969970703,35.4478149414063,242280.200743574,732728.195033732
31,,https://maps.google.com/maps?q=32.68967056274414%2C35.44742202758789&z=17&hl=he,כתובת על מכסה ביוב מבטון,,32.6896705627441,35.4474220275879,242243.13081338,732824.989604127
32,,https://maps.google.com/maps?q=32.68986511230469%2C35.44732666015625&z=17&hl=he,צינור סגול עם קצה כחול. מה כתוב על החלק הכחול?,,32.6898651123047,35.4473266601563,242234.137804228,732846.544805147
33,3,https://maps.google.com/maps?q=32.69023513793945%2C35.4474983215332&z=17&hl=he, מחשוף סלע גבוה,,32.6902351379395,35.4474983215332,242250.142223402,732887.617789023
34,1,https://maps.google.com/maps?q=32.69224166870117%2C35.44630813598633&z=17&hl=he,"על הכתף במבט לכיוון השלוחה שמהצד הדרומי, שלושה אובייקטים גדולים, את אחד מהם אפשר לצלם כשהוא בתוך השני ",,32.6922416687012,35.4463081359863,242138.019314186,733109.888381033
35,2,https://maps.google.com/maps?q=32.69241714477539%2C35.446163177490234&z=17&hl=he,העץ הבודד בואדי מול קצה הכתף,,32.6924171447754,35.4461631774902,242124.381074945,733129.317819379
36,3,https://maps.google.com/maps?q=32.69242477416992%2C35.44573211669922&z=17&hl=he,מאורה,,32.6924247741699,35.4457321166992,242083.955298724,733130.071879482
37,,https://maps.google.com/maps?q=32.69243240356445%2C35.44518280029297&z=17&hl=he,רוג’ום קטן על מחשוף סלע גדול,,32.6924324035645,35.445182800293,242032.43980291,733130.80092619
